epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.907,2.61306,2.27621,1.52657,0.30449,0.37694,0.28124,0.08426,2.045,2.84142,1.27926,0.0673402,0.000329897,0.000329897
2,61.966,2.17447,1.7133,1.25844,0.42141,0.54833,0.46062,0.18015,2.02201,2.54319,1.28676,0.0343395,0.000662574,0.000662574
3,92.7723,2.12605,1.62682,1.22975,0.52676,0.46277,0.45182,0.17391,2.04812,1.9735,1.28063,0.00133823,0.00099459,0.00099459
4,123.578,2.10162,1.60692,1.22883,0.43602,0.43868,0.36108,0.13232,2.06776,2.46647,1.24348,0.00099703,0.00099703,0.00099703
5,154.329,2.07934,1.59265,1.22229,0.52142,0.47803,0.4508,0.1705,2.05548,1.88282,1.23073,0.00099604,0.00099604,0.00099604
6,184.947,2.03014,1.50102,1.196,0.56191,0.4369,0.44267,0.15968,2.09867,1.89397,1.24007,0.00099505,0.00099505,0.00099505
7,215.456,2.04947,1.52436,1.20193,0.51656,0.51981,0.48546,0.18178,2.02612,1.74278,1.21088,0.00099406,0.00099406,0.00099406
8,245.93,1.93539,1.41629,1.17466,0.68861,0.54045,0.60603,0.25013,1.97723,1.42008,1.1965,0.00099307,0.00099307,0.00099307
9,276.425,1.98746,1.46397,1.18361,0.57155,0.49014,0.50584,0.17664,2.07296,1.54696,1.21819,0.00099208,0.00099208,0.00099208
10,306.733,1.94767,1.40768,1.17443,0.6992,0.56362,0.61447,0.25624,1.95103,1.36697,1.19708,0.00099109,0.00099109,0.00099109
11,337.208,1.94038,1.38865,1.16996,0.6695,0.58414,0.62027,0.25121,1.96427,1.40383,1.19211,0.0009901,0.0009901,0.0009901
12,367.496,1.94028,1.38745,1.16553,0.67327,0.54023,0.59353,0.22127,2.04346,1.38475,1.21754,0.00098911,0.00098911,0.00098911
13,397.724,1.93379,1.35709,1.16809,0.73889,0.59252,0.66192,0.2977,1.84887,1.26838,1.16758,0.00098812,0.00098812,0.00098812
14,428.252,1.91903,1.35898,1.16236,0.73412,0.59865,0.66396,0.29777,1.85377,1.25992,1.16837,0.00098713,0.00098713,0.00098713
15,461.836,1.93065,1.34935,1.16442,0.71395,0.52937,0.6054,0.23211,2.06942,1.36262,1.21824,0.00098614,0.00098614,0.00098614
16,492.209,1.9055,1.30673,1.14678,0.68634,0.57253,0.62616,0.26415,1.8901,1.35109,1.15979,0.00098515,0.00098515,0.00098515
17,522.414,1.89066,1.29176,1.1512,0.73258,0.57442,0.65591,0.29083,1.85583,1.25955,1.15701,0.00098416,0.00098416,0.00098416
18,552.859,1.8887,1.284,1.14738,0.65292,0.5779,0.60327,0.2395,1.99621,1.43078,1.20074,0.00098317,0.00098317,0.00098317
19,583.17,1.86523,1.27827,1.15282,0.7544,0.62205,0.68535,0.3115,1.80297,1.22613,1.14775,0.00098218,0.00098218,0.00098218
20,613.594,1.87829,1.27421,1.14519,0.74669,0.63258,0.69729,0.31023,1.82229,1.21742,1.14816,0.00098119,0.00098119,0.00098119
21,643.96,1.85895,1.28157,1.14411,0.73098,0.61791,0.68682,0.30004,1.86673,1.23319,1.1615,0.0009802,0.0009802,0.0009802
22,674.367,1.85434,1.27672,1.14704,0.76899,0.64525,0.70802,0.32797,1.7742,1.1525,1.13673,0.00097921,0.00097921,0.00097921
23,704.773,1.84058,1.2491,1.13398,0.74174,0.61822,0.68301,0.31574,1.77292,1.19838,1.13257,0.00097822,0.00097822,0.00097822
24,734.954,1.8466,1.23401,1.13705,0.76466,0.65778,0.70998,0.31429,1.83264,1.15855,1.14359,0.00097723,0.00097723,0.00097723
25,765.086,1.82868,1.22339,1.14017,0.75596,0.61124,0.68731,0.31566,1.79819,1.1797,1.14673,0.00097624,0.00097624,0.00097624
26,795.298,1.80956,1.21864,1.12852,0.77309,0.63827,0.70545,0.33082,1.75193,1.20309,1.12725,0.00097525,0.00097525,0.00097525
27,825.522,1.81733,1.21905,1.12719,0.77529,0.6695,0.73092,0.33135,1.78939,1.12084,1.13547,0.00097426,0.00097426,0.00097426
28,855.811,1.81295,1.19785,1.12425,0.76398,0.6348,0.71445,0.32842,1.76197,1.16055,1.12221,0.00097327,0.00097327,0.00097327
29,885.98,1.80644,1.2027,1.12301,0.77764,0.64674,0.72073,0.33161,1.76987,1.13456,1.13009,0.00097228,0.00097228,0.00097228
30,916.161,1.81337,1.20325,1.12283,0.76929,0.65195,0.72321,0.34121,1.72445,1.12859,1.11474,0.00097129,0.00097129,0.00097129
31,946.53,1.80858,1.19889,1.13062,0.8002,0.64702,0.73149,0.34726,1.74431,1.10879,1.11857,0.0009703,0.0009703,0.0009703
32,976.909,1.787,1.18603,1.1158,0.79733,0.64327,0.72575,0.33891,1.77583,1.12201,1.13272,0.00096931,0.00096931,0.00096931
33,1006.98,1.79297,1.1705,1.11852,0.74437,0.65775,0.70827,0.33583,1.7175,1.13671,1.11311,0.00096832,0.00096832,0.00096832
34,1037.08,1.81478,1.18942,1.12683,0.75803,0.65027,0.71577,0.32168,1.73859,1.13422,1.11156,0.00096733,0.00096733,0.00096733
35,1067.14,1.78871,1.17254,1.12332,0.81056,0.66069,0.74636,0.35661,1.72233,1.08974,1.11392,0.00096634,0.00096634,0.00096634
36,1097.42,1.78021,1.17534,1.11292,0.80294,0.66828,0.74757,0.35,1.76088,1.08451,1.11917,0.00096535,0.00096535,0.00096535
37,1127.49,1.77467,1.14598,1.10544,0.75736,0.65977,0.71382,0.31425,1.83836,1.16722,1.14,0.00096436,0.00096436,0.00096436
38,1157.71,1.7919,1.14439,1.11222,0.79081,0.68523,0.75194,0.35383,1.71256,1.08166,1.10507,0.00096337,0.00096337,0.00096337
39,1187.85,1.77305,1.14228,1.1158,0.82359,0.67337,0.76257,0.35644,1.75377,1.08367,1.11633,0.00096238,0.00096238,0.00096238
40,1218.17,1.74189,1.12696,1.10102,0.79581,0.66102,0.73788,0.35204,1.71028,1.08182,1.10808,0.00096139,0.00096139,0.00096139
41,1248.31,1.76889,1.1211,1.10972,0.80351,0.69499,0.75905,0.35738,1.73823,1.05186,1.11812,0.0009604,0.0009604,0.0009604
42,1278.7,1.73032,1.10439,1.09872,0.81214,0.68977,0.76364,0.36794,1.67542,1.03712,1.09675,0.00095941,0.00095941,0.00095941
43,1309.05,1.74124,1.09838,1.09993,0.80625,0.66317,0.74,0.36474,1.67177,1.04867,1.10256,0.00095842,0.00095842,0.00095842
44,1339.47,1.74718,1.1132,1.10099,0.52414,0.59759,0.48051,0.2037,1.84152,1.30419,1.1263,0.00095743,0.00095743,0.00095743
45,1369.76,1.74772,1.11334,1.09633,0.80822,0.67878,0.76321,0.35827,1.71218,1.06282,1.09726,0.00095644,0.00095644,0.00095644
46,1399.94,1.72658,1.10088,1.10168,0.8073,0.6869,0.77002,0.3674,1.69908,1.04675,1.1052,0.00095545,0.00095545,0.00095545
47,1430.37,1.7251,1.11133,1.10018,0.7721,0.69465,0.75036,0.36997,1.65672,1.06834,1.0939,0.00095446,0.00095446,0.00095446
48,1460.74,1.70318,1.06122,1.09249,0.82215,0.69544,0.77729,0.38637,1.63804,0.99483,1.08812,0.00095347,0.00095347,0.00095347
49,1491.01,1.72236,1.08223,1.09394,0.81074,0.69632,0.7755,0.36049,1.74271,1.01984,1.11112,0.00095248,0.00095248,0.00095248
50,1521.18,1.7272,1.08203,1.09265,0.81222,0.71104,0.77788,0.36924,1.72148,1.00841,1.10297,0.00095149,0.00095149,0.00095149
51,1551.35,1.70807,1.07014,1.10015,0.80652,0.71033,0.77898,0.38298,1.67245,1.00228,1.10123,0.0009505,0.0009505,0.0009505
52,1581.52,1.70202,1.06561,1.09977,0.81741,0.70375,0.77471,0.387,1.64361,0.98868,1.09319,0.00094951,0.00094951,0.00094951
53,1611.86,1.71033,1.05905,1.09658,0.81979,0.68812,0.77596,0.36274,1.72585,1.04905,1.10103,0.00094852,0.00094852,0.00094852
54,1642.05,1.70295,1.06428,1.08953,0.8101,0.70571,0.77653,0.34324,1.83571,1.02918,1.13325,0.00094753,0.00094753,0.00094753
55,1672.24,1.69919,1.05992,1.08876,0.82089,0.70039,0.78251,0.37639,1.70948,1.01682,1.09898,0.00094654,0.00094654,0.00094654
56,1702.48,1.68412,1.04942,1.0853,0.83263,0.69861,0.78177,0.39449,1.62938,0.98899,1.08404,0.00094555,0.00094555,0.00094555
57,1732.88,1.68208,1.0396,1.07905,0.83289,0.69122,0.7763,0.39582,1.62325,0.99255,1.08308,0.00094456,0.00094456,0.00094456
58,1763.27,1.68858,1.0345,1.08575,0.80833,0.70172,0.77712,0.3866,1.6416,0.99628,1.08359,0.00094357,0.00094357,0.00094357
59,1793.43,1.70892,1.0517,1.09265,0.82409,0.72992,0.80069,0.40089,1.63315,0.95276,1.0851,0.00094258,0.00094258,0.00094258
60,1823.78,1.67321,1.03655,1.08397,0.83693,0.71304,0.79702,0.39022,1.68608,0.96032,1.09428,0.00094159,0.00094159,0.00094159
61,1853.93,1.67553,1.03328,1.07755,0.83285,0.68744,0.77312,0.39322,1.61428,0.99149,1.08068,0.0009406,0.0009406,0.0009406
62,1884.18,1.6853,1.0201,1.09112,0.84798,0.72861,0.80569,0.39609,1.65991,0.95525,1.08749,0.00093961,0.00093961,0.00093961
63,1914.46,1.66325,1.01842,1.06879,0.83541,0.72766,0.80842,0.3832,1.71662,0.96798,1.09942,0.00093862,0.00093862,0.00093862
64,1944.8,1.66741,1.03288,1.08312,0.83614,0.72964,0.80069,0.40779,1.61957,0.94709,1.08379,0.00093763,0.00093763,0.00093763
65,1975.19,1.67401,1.03424,1.08859,0.83183,0.73233,0.80323,0.41465,1.57927,0.9405,1.06666,0.00093664,0.00093664,0.00093664
